x_source_schema_name,source_table_name,variable_name,variable_value,x_statistic_name,statistic_value,variable_type,variable_description_level_1,variable_value_level_1,variable_description_level_2,variable_value_level_2,variable_description_level_3,variable_value_level_3,variable_description_level_4,variable_value_level_4,custom_query,x_dnp
std,organization,organization_source_value,,,organization_source_value,4,,,,,,,,,,N
std,organization,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,N
std,organization,place_of_service_source_value,place_of_service_source_value,,,2,,,,,,,,,,N
std,organization,organization_address_1,organization_address_1,,,2,,,,,,,,,,N
std,organization,organization_address_2,organization_address_2,,,2,,,,,,,,,,N
std,organization,organization_city,organization_city,,,2,,,,,,,,,,N
std,organization,organization_state,organization_state,,,2,,,,,,,,,,N
std,organization,organization_zip,organization_zip,,,2,,,,,,,,,,N
std,organization,organization_county,organization_county,,,2,,,,,,,,,,N
std,care_site,care_site_source_value,,,care_site_source_value,4,,,,,,,,,,Y
std,care_site,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
std,care_site,organization_source_value,organization_source_value,,,2,,,,,,,,,,Y
std,care_site,place_of_service_source_value,place_of_service_source_value,,,2,,,,,,,,,,Y
std,care_site,x_care_site_name,x_care_site_name,,,2,,,,,,,,,,Y
std,care_site,care_site_address_1,care_site_address_1,,,2,,,,,,,,,,Y
std,care_site,care_site_address_2,care_site_address_2,,,2,,,,,,,,,,Y
std,care_site,care_site_city,care_site_city,,,2,,,,,,,,,,Y
std,care_site,care_site_state,care_site_state,,,2,,,,,,,,,,Y
std,care_site,care_site_zip,care_site_zip,,,2,,,,,,,,,,Y
std,care_site,care_site_county,care_site_county,,,2,,,,,,,,,,Y
std,provider,provider_source_value,,,provider_source_value,4,,,,,,,,,,Y
std,provider,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
std,provider,npi,npi,,,2,,,,,,,,,,Y
std,provider,dea,dea,,,2,,,,,,,,,,Y
std,provider,specialty_source_value,specialty_source_value,,,2,,,,,,,,,,Y
std,provider,x_provider_first,x_provider_first,,,2,,,,,,,,,,Y
std,provider,x_provider_middle,x_provider_middle,,,2,,,,,,,,,,Y
std,provider,x_provider_last,x_provider_last,,,2,,,,,,,,,,Y
std,provider,care_site_source_value,care_site_source_value,,,2,,,,,,,,,,Y
std,provider,x_organization_source_value,x_organization_source_value,,,2,,,,,,,,,,Y
std,x_demographic,person_source_value,,,person_source_value,4,,,,,,,,,,Y
std,x_demographic,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
std,x_demographic,medicaid_id_number,medicaid_id_number,,,2,,,,,,,,,,Y
std,x_demographic,ssn,ssn,,,2,,,,,,,,,,Y
std,x_demographic,last,last,,,2,,,,,,,,,,Y
std,x_demographic,middle,middle,,,2,,,,,,,,,,Y
std,x_demographic,first,first,,,2,,,,,,,,,,Y
std,x_demographic,address_1,address_1,,,2,,,,,,,,,,Y
std,x_demographic,address_2,address_2,,,2,,,,,,,,,,Y
std,x_demographic,city,city,,,2,,,,,,,,,,Y
std,x_demographic,state,state,,,2,,,,,,,,,,Y
std,x_demographic,zip,zip,,,2,,,,,,,,,,Y
std,x_demographic,county,county,,,2,,,,,,,,,,Y
std,x_demographic,year_of_birth,year_of_birth,,,2,,,,,,,,,,Y
std,x_demographic,month_of_birth,month_of_birth,,,2,,,,,,,,,,Y
std,x_demographic,day_of_birth,day_of_birth,,,2,,,,,,,,,,Y
std,x_demographic,gender_source_value,gender_source_value,,,2,,,,,,,,,,Y
std,x_demographic,race_source_value,race_source_value,,,2,,,,,,,,,,Y
std,x_demographic,ethnicity_source_value,ethnicity_source_value,,,2,,,,,,,,,,Y
std,x_demographic,provider_source_value,provider_source_value,,,2,,,,,,,,,,Y
std,x_demographic,care_site_source_value,care_site_source_value,,,2,,,,,,,,,,Y
std,x_demographic,x_organization_source_value,x_organization_source_value,,,2,,,,,,,,,,Y
std,visit_occurrence,x_visit_occurrence_source_identifier,,,x_visit_occurrence_source_identifier,4,,,,,,,,,,Y
std,visit_occurrence,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
std,visit_occurrence,person_source_value,person_source_value,,,2,,,,,,,,,,Y
std,visit_occurrence,visit_start_date,,,visit_start_date,3,,,,,,,,,,Y
std,visit_occurrence,visit_end_date,,,visit_end_date,3,,,,,,,,,,Y
std,visit_occurrence,visit_start_quarter,extract(year from visit_start_date) * 10 + extract(quarter from visit_start_date),,,2,,,,,,,,,,Y
std,visit_occurrence,visit_end_quarter,extract(year from visit_end_date) * 10 + extract(quarter from visit_end_date),,,2,,,,,,,,,,Y
std,visit_occurrence,place_of_service_source_value,place_of_service_source_value,,,2,,,,,,,,,,Y
std,visit_occurrence,x_provider_source_value,x_provider_source_value,,,2,,,,,,,,,,Y
std,visit_occurrence,care_site_source_value,care_site_source_value,,,2,,,,,,,,,,Y
std,drug_exposure,drug_exposure_source_identifier,,,drug_exposure_source_identifier,4,,,,,,,,,,Y
std,drug_exposure,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
std,drug_exposure,person_source_value,person_source_value,,,2,,,,,,,,,,Y
std,drug_exposure,drug_source_value,drug_source_value,,,2,,,,,,,,,,Y
std,drug_exposure,drug_source_value_vocabulary,drug_source_value_vocabulary,,,2,,,,,,,,,,Y
std,drug_exposure,drug_exposure_start_date,,,drug_exposure_start_date,3,,,,,,,,,,Y
std,drug_exposure,drug_exposure_end_date,,,drug_exposure_end_date,3,,,,,,,,,,Y
std,drug_exposure,drug_exposure_start_quarter,extract(year from drug_exposure_start_date) * 10 + extract(quarter from drug_exposure_start_date),,,2,,,,,,,,,,Y
std,drug_exposure,drug_exposure_end_quarter,extract(year from drug_exposure_end_date) * 10 + extract(quarter from drug_exposure_end_date),,,2,,,,,,,,,,Y
std,drug_exposure,drug_type_source_value,drug_type_source_value,,,2,,,,,,,,,,Y
std,drug_exposure,stop_reason,stop_reason,,,2,,,,,,,,,,Y
std,drug_exposure,refills,refills,,refills,1,,,,,,,,,,Y
std,drug_exposure,quantity,quantity,,quantity,1,,,,,,,,,,Y
std,drug_exposure,days_supply,days_supply,,days_supply,1,,,,,,,,,,Y
std,drug_exposure,x_drug_name,x_drug_name,,,2,,,,,,,,,,Y
std,drug_exposure,x_drug_strength,x_drug_strength,,,2,,,,,,,,,,Y
std,drug_exposure,sig,sig,,,2,,,,,,,,,,Y
std,drug_exposure,provider_source_value,provider_source_value,,,2,,,,,,,,,,Y
std,drug_exposure,x_visit_occurrence_source_identifier,x_visit_occurrence_source_identifier,,,2,,,,,,,,,,Y
std,drug_exposure,relevant_condition_source_value,relevant_condition_source_value,,,2,,,,,,,,,,Y
std,condition_occurrence,condition_occurrence_source_identifier,,,condition_occurrence_source_identifier,4,,,,,,,,,,Y
std,condition_occurrence,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
std,condition_occurrence,person_source_value,person_source_value,,,2,,,,,,,,,,Y
std,condition_occurrence,condition_source_value,condition_source_value,,,2,,,,,,,,,,Y
std,condition_occurrence,condition_source_value_vocabulary,condition_source_value_vocabulary,,,2,,,,,,,,,,Y
std,condition_occurrence,x_condition_source_desc,x_condition_source_desc,,,2,,,,,,,,,,Y
std,condition_occurrence,condition_start_date,,,condition_start_date,3,,,,,,,,,,Y
