rule_order,rule_description,target_schema,target_table,target_column,map_type,map_order,source_schema,source_table,source_value
1,rz.vocabulary to saftinet.vocabulary,saftinet,vocabulary,vocabulary_id,PRIMARY,1,rz,vocabulary,vocabulary.vocabulary_id
1,rz.vocabulary to saftinet.vocabulary,saftinet,vocabulary,vocabulary_id,VALUE,2,,,vocabulary.vocabulary_id
1,rz.vocabulary to saftinet.vocabulary,saftinet,vocabulary,vocabulary_name,VALUE,3,,,vocabulary.vocabulary_name
2,rz.concept to saftinet.concept,saftinet,concept,concept_id,PRIMARY,1,rz,concept,concept.concept_id
2,rz.concept to saftinet.concept,saftinet,concept,concept_id,VALUE,2,,,concept.concept_id
2,rz.concept to saftinet.concept,saftinet,concept,concept_name,VALUE,3,,,concept.concept_name
2,rz.concept to saftinet.concept,saftinet,concept,concept_level,VALUE,4,,,concept.concept_level
2,rz.concept to saftinet.concept,saftinet,concept,concept_class,VALUE,5,,,concept.concept_class
2,rz.concept to saftinet.concept,saftinet,concept,vocabulary_id,VALUE,6,,,concept.vocabulary_id
2,rz.concept to saftinet.concept,saftinet,concept,concept_code,VALUE,7,,,concept.concept_code
2,rz.concept to saftinet.concept,saftinet,concept,valid_start_date,VALUE,8,,,concept.valid_start_date
2,rz.concept to saftinet.concept,saftinet,concept,valid_end_date,VALUE,9,,,concept.valid_end_date
2,rz.concept to saftinet.concept,saftinet,concept,invalid_reason,VALUE,10,,,concept.invalid_reason
2,rz.concept to saftinet.concept,saftinet,concept,x_grid_node_id,VALUE,11,,,?
7,rz.source_to_concept_map to saftinet.source_to_concept_map,saftinet,source_to_concept_map,source_code,PRIMARY,1,rz,source_to_concept_map,"source_to_concept_map.source_code,source_to_concept_map.source_vocabulary_id,source_to_concept_map.target_concept_id,source_to_concept_map.valid_end_date"
7,rz.source_to_concept_map to saftinet.source_to_concept_map,saftinet,source_to_concept_map,source_code,VALUE,2,,,source_to_concept_map.source_code
7,rz.source_to_concept_map to saftinet.source_to_concept_map,saftinet,source_to_concept_map,source_vocabulary_id,VALUE,3,,,source_to_concept_map.source_vocabulary_id
7,rz.source_to_concept_map to saftinet.source_to_concept_map,saftinet,source_to_concept_map,source_code_description,VALUE,4,,,source_to_concept_map.source_code_description
7,rz.source_to_concept_map to saftinet.source_to_concept_map,saftinet,source_to_concept_map,target_concept_id,VALUE,5,,,source_to_concept_map.target_concept_id
7,rz.source_to_concept_map to saftinet.source_to_concept_map,saftinet,source_to_concept_map,target_vocabulary_id,VALUE,6,,,source_to_concept_map.target_vocabulary_id
7,rz.source_to_concept_map to saftinet.source_to_concept_map,saftinet,source_to_concept_map,mapping_type,VALUE,7,,,source_to_concept_map.mapping_type
7,rz.source_to_concept_map to saftinet.source_to_concept_map,saftinet,source_to_concept_map,primary_map,VALUE,8,,,source_to_concept_map.primary_map
7,rz.source_to_concept_map to saftinet.source_to_concept_map,saftinet,source_to_concept_map,valid_start_date,VALUE,9,,,source_to_concept_map.valid_start_date
7,rz.source_to_concept_map to saftinet.source_to_concept_map,saftinet,source_to_concept_map,valid_end_date,VALUE,10,,,source_to_concept_map.valid_end_date
7,rz.source_to_concept_map to saftinet.source_to_concept_map,saftinet,source_to_concept_map,invalid_reason,VALUE,11,,,source_to_concept_map.invalid_reason
8,omop.location to saftinet.location,saftinet,location,location_id,PRIMARY,1,omop,location,location.location_id
8,omop.location to saftinet.location,saftinet,location,location_id,VALUE,2,,,location.location_id
8,omop.location to saftinet.location,saftinet,location,address_1,VALUE,3,,,location.address_1
8,omop.location to saftinet.location,saftinet,location,address_2,VALUE,4,,,location.address_2
8,omop.location to saftinet.location,saftinet,location,city,VALUE,5,,,location.city
8,omop.location to saftinet.location,saftinet,location,state,VALUE,6,,,location.state
8,omop.location to saftinet.location,saftinet,location,zip,VALUE,7,,,"substring(location.zip,1,5)"
8,omop.location to saftinet.location,saftinet,location,county,VALUE,8,,,location.county
8,omop.location to saftinet.location,saftinet,location,location_source_value,VALUE,9,,,location.location_source_value
