rule_order,rule_description,target_schema,target_table,target_column,map_type,map_order,source_schema,source_table,source_value
1,raw.vt_medical_claims to std.organization1,std,organization,organization_source_value,PRIMARY,1,raw,vt_medical_claims,"vt_medical_claims.billing_provider_id,vt_provider.provider_type_code,vt_provider.provider_organization_type"
1,raw.vt_medical_claims to std.organization1,std,organization,,JOIN,2,raw,vt_provider,vt_medical_claims.billing_provider_id = vt_provider.provider_id
1,raw.vt_medical_claims to std.organization1,std,organization,,WHERE,3,,,"vt_provider.provider_organization_type in ('1', '2')"
1,raw.vt_medical_claims to std.organization1,std,organization,organization_source_value,VALUE,4,,,vt_medical_claims.billing_provider_id||'-'||vt_provider.provider_type_code||'-'||vt_provider.provider_organization_type
1,raw.vt_medical_claims to std.organization1,std,organization,x_data_source_type,VALUE,5,,,'MEDICAID'
1,raw.vt_medical_claims to std.organization1,std,organization,place_of_service_source_value,VALUE,6,,,vt_medical_claims.place_of_service_code
1,raw.vt_medical_claims to std.organization1,std,organization,organization_address_1,VALUE,7,,,vt_provider.provider_address_first_line
1,raw.vt_medical_claims to std.organization1,std,organization,organization_address_2,VALUE,8,,,vt_provider.provider_street
1,raw.vt_medical_claims to std.organization1,std,organization,organization_city,VALUE,9,,,vt_provider.provider_city
1,raw.vt_medical_claims to std.organization1,std,organization,organization_state,VALUE,10,,,vt_provider.provider_state
1,raw.vt_medical_claims to std.organization1,std,organization,organization_zip,VALUE,11,,,vt_provider.provider_zip_code
1,raw.vt_medical_claims to std.organization1,std,organization,organization_county,VALUE,12,,,NULL
2,raw.vt_medical_claims to std.organization2,std,organization,organization_source_value,PRIMARY,1,raw,vt_medical_claims,"vt_medical_claims.attending_provider_id,vt_provider.provider_type_code,vt_provider.provider_organization_type"
2,raw.vt_medical_claims to std.organization2,std,organization,,JOIN,2,raw,vt_provider,vt_medical_claims.attending_provider_id = vt_provider.provider_id
2,raw.vt_medical_claims to std.organization2,std,organization,,WHERE,3,,,"vt_provider.provider_organization_type in ('1', '2')"
2,raw.vt_medical_claims to std.organization2,std,organization,organization_source_value,VALUE,4,,,vt_medical_claims.attending_provider_id||'-'||vt_provider.provider_type_code||'-'||vt_provider.provider_organization_type
2,raw.vt_medical_claims to std.organization2,std,organization,x_data_source_type,VALUE,5,,,'MEDICAID'
2,raw.vt_medical_claims to std.organization2,std,organization,place_of_service_source_value,VALUE,6,,,vt_medical_claims.place_of_service_code
2,raw.vt_medical_claims to std.organization2,std,organization,organization_address_1,VALUE,7,,,vt_provider.provider_address_first_line
2,raw.vt_medical_claims to std.organization2,std,organization,organization_address_2,VALUE,8,,,vt_provider.provider_street
2,raw.vt_medical_claims to std.organization2,std,organization,organization_city,VALUE,9,,,vt_provider.provider_city
2,raw.vt_medical_claims to std.organization2,std,organization,organization_state,VALUE,10,,,vt_provider.provider_state
2,raw.vt_medical_claims to std.organization2,std,organization,organization_zip,VALUE,11,,,vt_provider.provider_zip_code
2,raw.vt_medical_claims to std.organization2,std,organization,organization_county,VALUE,12,,,NULL
3,raw.vt_pharmacy_claims to std.organization1,std,organization,organization_source_value,PRIMARY,1,raw,vt_pharmacy_claims,"vt_pharmacy_claims.billing_provider_id,vt_provider.provider_type_code,vt_provider.provider_organization_type"
3,raw.vt_pharmacy_claims to std.organization1,std,organization,,JOIN,2,raw,vt_provider,vt_pharmacy_claims.billing_provider_id = vt_provider.provider_id
3,raw.vt_pharmacy_claims to std.organization1,std,organization,,WHERE,3,,,"vt_provider.provider_organization_type in ('1', '2')"
3,raw.vt_pharmacy_claims to std.organization1,std,organization,organization_source_value,VALUE,4,,,vt_pharmacy_claims.billing_provider_id||'-'||vt_provider.provider_type_code||'-'||vt_provider.provider_organization_type
3,raw.vt_pharmacy_claims to std.organization1,std,organization,x_data_source_type,VALUE,5,,,'MEDICAID'
3,raw.vt_pharmacy_claims to std.organization1,std,organization,place_of_service_source_value,VALUE,6,,,vt_pharmacy_claims.place_of_service_code
3,raw.vt_pharmacy_claims to std.organization1,std,organization,organization_address_1,VALUE,7,,,vt_provider.provider_address_first_line
3,raw.vt_pharmacy_claims to std.organization1,std,organization,organization_address_2,VALUE,8,,,vt_provider.provider_street
3,raw.vt_pharmacy_claims to std.organization1,std,organization,organization_city,VALUE,9,,,vt_provider.provider_city
3,raw.vt_pharmacy_claims to std.organization1,std,organization,organization_state,VALUE,10,,,vt_provider.provider_state
3,raw.vt_pharmacy_claims to std.organization1,std,organization,organization_zip,VALUE,11,,,vt_provider.provider_zip_code
3,raw.vt_pharmacy_claims to std.organization1,std,organization,organization_county,VALUE,12,,,NULL
4,raw.vt_pharmacy_claims to std.organization2,std,organization,organization_source_value,PRIMARY,1,raw,vt_pharmacy_claims,"vt_pharmacy_claims.prescribing_provider_id,vt_provider.provider_type_code,vt_provider.provider_organization_type"
4,raw.vt_pharmacy_claims to std.organization2,std,organization,,JOIN,2,raw,vt_provider,vt_pharmacy_claims.prescribing_provider_id = vt_provider.provider_id
4,raw.vt_pharmacy_claims to std.organization2,std,organization,,WHERE,3,,,"vt_provider.provider_organization_type in ('1', '2')"
4,raw.vt_pharmacy_claims to std.organization2,std,organization,organization_source_value,VALUE,4,,,vt_pharmacy_claims.prescribing_provider_id||'-'||vt_provider.provider_type_code||'-'||vt_provider.provider_organization_type
4,raw.vt_pharmacy_claims to std.organization2,std,organization,x_data_source_type,VALUE,5,,,'MEDICAID'
4,raw.vt_pharmacy_claims to std.organization2,std,organization,place_of_service_source_value,VALUE,6,,,vt_pharmacy_claims.place_of_service_code
4,raw.vt_pharmacy_claims to std.organization2,std,organization,organization_address_1,VALUE,7,,,vt_provider.provider_address_first_line
4,raw.vt_pharmacy_claims to std.organization2,std,organization,organization_address_2,VALUE,8,,,vt_provider.provider_street
4,raw.vt_pharmacy_claims to std.organization2,std,organization,organization_city,VALUE,9,,,vt_provider.provider_city
4,raw.vt_pharmacy_claims to std.organization2,std,organization,organization_state,VALUE,10,,,vt_provider.provider_state
4,raw.vt_pharmacy_claims to std.organization2,std,organization,organization_zip,VALUE,11,,,vt_provider.provider_zip_code
4,raw.vt_pharmacy_claims to std.organization2,std,organization,organization_county,VALUE,12,,,NULL
5,raw.vt_medical_claims to std.care_site1,std,care_site,care_site_source_value,PRIMARY,1,raw,vt_medical_claims,"vt_medical_claims.billing_provider_id,vt_provider.provider_type_code,vt_provider.provider_organization_type"
5,raw.vt_medical_claims to std.care_site1,std,care_site,,JOIN,2,raw,vt_provider,vt_medical_claims.billing_provider_id = vt_provider.provider_id
5,raw.vt_medical_claims to std.care_site1,std,care_site,,WHERE,3,,,"vt_provider.provider_organization_type in ('1', '2')"
5,raw.vt_medical_claims to std.care_site1,std,care_site,care_site_source_value,VALUE,4,,,vt_medical_claims.billing_provider_id||'-'||vt_provider.provider_type_code||'-'||vt_provider.provider_organization_type
5,raw.vt_medical_claims to std.care_site1,std,care_site,x_data_source_type,VALUE,5,,,'MEDICAID'
5,raw.vt_medical_claims to std.care_site1,std,care_site,organization_source_value,VALUE,6,,,vt_medical_claims.billing_provider_id||'-'||vt_provider.provider_type_code||'-'||vt_provider.provider_organization_type
5,raw.vt_medical_claims to std.care_site1,std,care_site,place_of_service_source_value,VALUE,7,,,vt_medical_claims.place_of_service_code
5,raw.vt_medical_claims to std.care_site1,std,care_site,x_care_site_name,VALUE,8,,,vt_provider.provider_full_name
5,raw.vt_medical_claims to std.care_site1,std,care_site,care_site_address_1,VALUE,9,,,vt_provider.provider_address_first_line
5,raw.vt_medical_claims to std.care_site1,std,care_site,care_site_address_2,VALUE,10,,,vt_provider.provider_street
5,raw.vt_medical_claims to std.care_site1,std,care_site,care_site_city,VALUE,11,,,vt_provider.provider_city
5,raw.vt_medical_claims to std.care_site1,std,care_site,care_site_state,VALUE,12,,,vt_provider.provider_state
5,raw.vt_medical_claims to std.care_site1,std,care_site,care_site_zip,VALUE,13,,,vt_provider.provider_zip_code
5,raw.vt_medical_claims to std.care_site1,std,care_site,care_site_county,VALUE,14,,,NULL
6,raw.vt_medical_claims to std.care_site2,std,care_site,care_site_source_value,PRIMARY,1,raw,vt_medical_claims,"vt_medical_claims.billing_provider_id,vt_medical_claims.place_of_service_code,vt_provider.provider_organization_type"
6,raw.vt_medical_claims to std.care_site2,std,care_site,,JOIN,2,raw,vt_provider,vt_medical_claims.billing_provider_id = vt_provider.provider_id
6,raw.vt_medical_claims to std.care_site2,std,care_site,,WHERE,3,,,vt_provider.provider_organization_type in ('0')
6,raw.vt_medical_claims to std.care_site2,std,care_site,care_site_source_value,VALUE,4,,,vt_medical_claims.billing_provider_id||'-'||vt_medical_claims.place_of_service_code||'-'||vt_provider.provider_organization_type
6,raw.vt_medical_claims to std.care_site2,std,care_site,x_data_source_type,VALUE,5,,,'MEDICAID'
6,raw.vt_medical_claims to std.care_site2,std,care_site,organization_source_value,VALUE,6,,,'0'
6,raw.vt_medical_claims to std.care_site2,std,care_site,place_of_service_source_value,VALUE,7,,,vt_medical_claims.place_of_service_code
6,raw.vt_medical_claims to std.care_site2,std,care_site,x_care_site_name,VALUE,8,,,vt_provider.provider_full_name
6,raw.vt_medical_claims to std.care_site2,std,care_site,care_site_address_1,VALUE,9,,,vt_provider.provider_address_first_line
6,raw.vt_medical_claims to std.care_site2,std,care_site,care_site_address_2,VALUE,10,,,vt_provider.provider_street
6,raw.vt_medical_claims to std.care_site2,std,care_site,care_site_city,VALUE,11,,,vt_provider.provider_city
6,raw.vt_medical_claims to std.care_site2,std,care_site,care_site_state,VALUE,12,,,vt_provider.provider_state
6,raw.vt_medical_claims to std.care_site2,std,care_site,care_site_zip,VALUE,13,,,vt_provider.provider_zip_code
6,raw.vt_medical_claims to std.care_site2,std,care_site,care_site_county,VALUE,14,,,NULL
7,raw.vt_medical_claims to std.care_site3,std,care_site,care_site_source_value,PRIMARY,1,raw,vt_medical_claims,"vt_medical_claims.attending_provider_id,vt_provider.provider_type_code,vt_provider.provider_organization_type"
7,raw.vt_medical_claims to std.care_site3,std,care_site,,JOIN,2,raw,vt_provider,vt_medical_claims.attending_provider_id = vt_provider.provider_id
7,raw.vt_medical_claims to std.care_site3,std,care_site,,WHERE,3,,,"vt_provider.provider_organization_type in ('1', '2')"
7,raw.vt_medical_claims to std.care_site3,std,care_site,care_site_source_value,VALUE,4,,,vt_medical_claims.attending_provider_id||'-'||vt_provider.provider_type_code||'-'||vt_provider.provider_organization_type
7,raw.vt_medical_claims to std.care_site3,std,care_site,x_data_source_type,VALUE,5,,,'MEDICAID'
7,raw.vt_medical_claims to std.care_site3,std,care_site,organization_source_value,VALUE,6,,,vt_medical_claims.attending_provider_id||'-'||vt_provider.provider_type_code||'-'||vt_provider.provider_organization_type
7,raw.vt_medical_claims to std.care_site3,std,care_site,place_of_service_source_value,VALUE,7,,,vt_medical_claims.place_of_service_code
7,raw.vt_medical_claims to std.care_site3,std,care_site,x_care_site_name,VALUE,8,,,vt_provider.provider_full_name
7,raw.vt_medical_claims to std.care_site3,std,care_site,care_site_address_1,VALUE,9,,,vt_provider.provider_address_first_line
7,raw.vt_medical_claims to std.care_site3,std,care_site,care_site_address_2,VALUE,10,,,vt_provider.provider_street
7,raw.vt_medical_claims to std.care_site3,std,care_site,care_site_city,VALUE,11,,,vt_provider.provider_city
7,raw.vt_medical_claims to std.care_site3,std,care_site,care_site_state,VALUE,12,,,vt_provider.provider_state
7,raw.vt_medical_claims to std.care_site3,std,care_site,care_site_zip,VALUE,13,,,vt_provider.provider_zip_code
7,raw.vt_medical_claims to std.care_site3,std,care_site,care_site_county,VALUE,14,,,NULL
8,raw.vt_medical_claims to std.care_site3,std,care_site,care_site_source_value,PRIMARY,1,raw,vt_medical_claims,"vt_medical_claims.attending_provider_id,vt_medical_claims.place_of_service_code,vt_provider.provider_organization_type"
8,raw.vt_medical_claims to std.care_site4,std,care_site,,JOIN,2,raw,vt_provider,vt_medical_claims.attending_provider_id = vt_provider.provider_id
8,raw.vt_medical_claims to std.care_site4,std,care_site,,WHERE,3,,,vt_provider.provider_organization_type in ('0')
8,raw.vt_medical_claims to std.care_site4,std,care_site,care_site_source_value,VALUE,4,,,vt_medical_claims.attending_provider_id||'-'||vt_medical_claims.place_of_service_code||'-'||vt_provider.provider_organization_type
8,raw.vt_medical_claims to std.care_site4,std,care_site,x_data_source_type,VALUE,5,,,'MEDICAID'
8,raw.vt_medical_claims to std.care_site4,std,care_site,organization_source_value,VALUE,6,,,'0'
8,raw.vt_medical_claims to std.care_site4,std,care_site,place_of_service_source_value,VALUE,7,,,vt_medical_claims.place_of_service_code
8,raw.vt_medical_claims to std.care_site4,std,care_site,x_care_site_name,VALUE,8,,,vt_provider.provider_full_name
8,raw.vt_medical_claims to std.care_site4,std,care_site,care_site_address_1,VALUE,9,,,vt_provider.provider_address_first_line
8,raw.vt_medical_claims to std.care_site4,std,care_site,care_site_address_2,VALUE,10,,,vt_provider.provider_street
8,raw.vt_medical_claims to std.care_site4,std,care_site,care_site_city,VALUE,11,,,vt_provider.provider_city
8,raw.vt_medical_claims to std.care_site4,std,care_site,care_site_state,VALUE,12,,,vt_provider.provider_state
8,raw.vt_medical_claims to std.care_site4,std,care_site,care_site_zip,VALUE,13,,,vt_provider.provider_zip_code
8,raw.vt_medical_claims to std.care_site4,std,care_site,care_site_county,VALUE,14,,,NULL
9,raw.vt_pharmacy_claims to std.care_site1,std,care_site,care_site_source_value,PRIMARY,1,raw,vt_pharmacy_claims,"vt_pharmacy_claims.billing_provider_id,vt_provider.provider_type_code,vt_provider.provider_organization_type"
9,raw.vt_pharmacy_claims to std.care_site1,std,care_site,,JOIN,2,raw,vt_provider,vt_pharmacy_claims.billing_provider_id = vt_provider.provider_id
9,raw.vt_pharmacy_claims to std.care_site1,std,care_site,,WHERE,3,,,"vt_provider.provider_organization_type in ('1', '2')"
9,raw.vt_pharmacy_claims to std.care_site1,std,care_site,care_site_source_value,VALUE,4,,,vt_pharmacy_claims.billing_provider_id||'-'||vt_provider.provider_type_code||'-'||vt_provider.provider_organization_type
9,raw.vt_pharmacy_claims to std.care_site1,std,care_site,x_data_source_type,VALUE,5,,,'MEDICAID'
9,raw.vt_pharmacy_claims to std.care_site1,std,care_site,organization_source_value,VALUE,6,,,vt_pharmacy_claims.billing_provider_id||'-'||vt_provider.provider_type_code||'-'||vt_provider.provider_organization_type
9,raw.vt_pharmacy_claims to std.care_site1,std,care_site,place_of_service_source_value,VALUE,7,,,vt_pharmacy_claims.place_of_service_code
9,raw.vt_pharmacy_claims to std.care_site1,std,care_site,x_care_site_name,VALUE,8,,,vt_provider.provider_full_name
9,raw.vt_pharmacy_claims to std.care_site1,std,care_site,care_site_address_1,VALUE,9,,,vt_provider.provider_address_first_line
9,raw.vt_pharmacy_claims to std.care_site1,std,care_site,care_site_address_2,VALUE,10,,,vt_provider.provider_street
9,raw.vt_pharmacy_claims to std.care_site1,std,care_site,care_site_city,VALUE,11,,,vt_provider.provider_city
9,raw.vt_pharmacy_claims to std.care_site1,std,care_site,care_site_state,VALUE,12,,,vt_provider.provider_state
9,raw.vt_pharmacy_claims to std.care_site1,std,care_site,care_site_zip,VALUE,13,,,vt_provider.provider_zip_code
9,raw.vt_pharmacy_claims to std.care_site1,std,care_site,care_site_county,VALUE,14,,,NULL
10,raw.vt_pharmacy_claims to std.care_site2,std,care_site,care_site_source_value,PRIMARY,1,raw,vt_pharmacy_claims,"vt_pharmacy_claims.billing_provider_id,vt_pharmacy_claims.place_of_service_code,vt_provider.provider_organization_type"
10,raw.vt_pharmacy_claims to std.care_site2,std,care_site,,JOIN,2,raw,vt_provider,vt_pharmacy_claims.billing_provider_id = vt_provider.provider_id
10,raw.vt_pharmacy_claims to std.care_site2,std,care_site,,WHERE,3,,,vt_provider.provider_organization_type in ('0')
10,raw.vt_pharmacy_claims to std.care_site2,std,care_site,care_site_source_value,VALUE,4,,,vt_pharmacy_claims.billing_provider_id||'-'||vt_pharmacy_claims.place_of_service_code||'-'||vt_provider.provider_organization_type
10,raw.vt_pharmacy_claims to std.care_site2,std,care_site,x_data_source_type,VALUE,5,,,'MEDICAID'
10,raw.vt_pharmacy_claims to std.care_site2,std,care_site,organization_source_value,VALUE,6,,,'0'
10,raw.vt_pharmacy_claims to std.care_site2,std,care_site,place_of_service_source_value,VALUE,7,,,vt_pharmacy_claims.place_of_service_code
10,raw.vt_pharmacy_claims to std.care_site2,std,care_site,x_care_site_name,VALUE,8,,,vt_provider.provider_full_name
10,raw.vt_pharmacy_claims to std.care_site2,std,care_site,care_site_address_1,VALUE,9,,,vt_provider.provider_address_first_line
10,raw.vt_pharmacy_claims to std.care_site2,std,care_site,care_site_address_2,VALUE,10,,,vt_provider.provider_street
10,raw.vt_pharmacy_claims to std.care_site2,std,care_site,care_site_city,VALUE,11,,,vt_provider.provider_city
10,raw.vt_pharmacy_claims to std.care_site2,std,care_site,care_site_state,VALUE,12,,,vt_provider.provider_state
10,raw.vt_pharmacy_claims to std.care_site2,std,care_site,care_site_zip,VALUE,13,,,vt_provider.provider_zip_code
10,raw.vt_pharmacy_claims to std.care_site2,std,care_site,care_site_county,VALUE,14,,,NULL
11,raw.vt_pharmacy_claims to std.care_site3,std,care_site,care_site_source_value,PRIMARY,1,raw,vt_pharmacy_claims,"vt_pharmacy_claims.prescribing_provider_id,vt_provider.provider_type_code,vt_provider.provider_organization_type"
11,raw.vt_pharmacy_claims to std.care_site3,std,care_site,,JOIN,2,raw,vt_provider,vt_pharmacy_claims.prescribing_provider_id = vt_provider.provider_id
